Genus 	leaf_cycle	leaf_type
Abies	evergreen	needleleaved 
Acanthophoenix	evergreen	broadleaved 
Acoelorrhaphe	evergreen	broadleaved 
Acrocomia	evergreen	broadleaved 
Actinokentia	evergreen	broadleaved 
Actinorhytis	evergreen	broadleaved 
Adonidia	evergreen	broadleaved 
Aiphanes	evergreen	broadleaved 
Allagoptera	evergreen	broadleaved 
Ammandra	evergreen	broadleaved 
Aphandra	evergreen	broadleaved 
Araucaria	evergreen	needleleaved 
Archontophoenix	evergreen	broadleaved 
Areca	evergreen	broadleaved 
Arenga	evergreen	broadleaved 
Asterogyne	evergreen	broadleaved 
Astrocaryum	evergreen	broadleaved 
Attalea	evergreen	broadleaved 
Bactris	evergreen	broadleaved 
Balaka	evergreen	broadleaved 
Barcella	evergreen	broadleaved 
Basselinia	evergreen	broadleaved 
Beccariophoenix	evergreen	broadleaved 
Bentinckia	evergreen	broadleaved 
Bismarckia	evergreen	broadleaved 
Borassodendron	evergreen	broadleaved 
Borassus	evergreen	broadleaved 
Brahea	evergreen	broadleaved 
Brassiophoenix	evergreen	broadleaved 
Burretiokentia	evergreen	broadleaved 
Butia	evergreen	broadleaved 
Calamus	evergreen	broadleaved 
Calocedrus	evergreen	needleleaved 
Calyptrocalyx	evergreen	broadleaved 
Calyptrogyne	evergreen	broadleaved 
Calyptronoma	evergreen	broadleaved 
Carpentaria	evergreen	broadleaved 
Carpoxylon	evergreen	broadleaved 
Caryota	evergreen	broadleaved 
Cathaya	evergreen	needleleaved 
Cedrus	evergreen	needleleaved 
Cephalotaxus	evergreen	needleleaved 
Ceratolobus	evergreen	broadleaved 
Ceratozamia	evergreen	needleleaved 
Ceroxylon	evergreen	broadleaved 
Chamaecyparis	evergreen	needleleaved 
Chamaedorea	evergreen	broadleaved 
Chamaerops	evergreen	broadleaved 
Chambeyronia	evergreen	broadleaved 
Chelyocarpus	evergreen	broadleaved 
Chigua	evergreen	needleleaved 
Chuniophoenix	evergreen	broadleaved 
Clinosperma	evergreen	broadleaved 
Clinostigma	evergreen	broadleaved 
Coccothrinax	evergreen	broadleaved 
Cocos	evergreen	broadleaved 
Colpothrinax	evergreen	broadleaved 
Copernicia	evergreen	broadleaved 
Corypha	evergreen	broadleaved 
Cryosophila	evergreen	broadleaved 
Cryptomera	evergreen	needleleaved 
Cunninghamia	evergreen	needleleaved 
Cupressocyparis	evergreen	needleleaved 
Cupressus	evergreen	needleleaved 
Cycas	evergreen	needleleaved 
Cyphokentia	evergreen	broadleaved 
Cyphophoenix	evergreen	broadleaved 
Cyphosperma	evergreen	broadleaved 
Cyrtostachys	evergreen	broadleaved 
Daemonorops	evergreen	broadleaved 
