"","nom","nb_arbre","duree","nb_jour","poi_count","ligne_count","poly_count"
"1","GeorgeKaplan",88316,2007,26,106725,2387,117562
"2","VinceBot",52761,843,2,52761,0,149734
"3","osmmaker",42062,2920,83,69360,1099,516180
"4","Verdy_p",27332,2298,116,54623,46493,12320
"5","Marc Mongenet",26604,3081,842,38608,2599,73876
"6","x-pab",21399,1095,295,25878,17,44452
"7","cquest",19830,2952,165,140566,13839,841634
"8","RedFox",19193,1964,8,40582,6702,440718
"9","NaSH",14192,2697,214,54533,3594,34328
"10","Penegal",12237,1269,177,33904,4338,11443
"11","Virgile1994",11034,1801,125,34642,8925,6502
"12","jseigneuret",10929,1531,134,38555,3502,25274
"13","Romuald71",10509,1838,401,22398,1621,97403
"14","Cybereric",9577,2288,150,13370,104,7600
"15","F5ZV",9470,874,410,14871,351,26835
"16","zewan",9096,2379,67,10159,363,1775
"17","miniwark",9095,1161,78,11474,153,2958
"18","Stereo_repair",8452,8,9,8495,50,40
"19","Chivos",7995,105,24,8582,164,44662
"20","opoilpre",7501,1554,114,8850,454,52299
"21","VinceFromNice",7353,1283,5,7602,2,3631
"22","MarcelHerault",7248,2061,180,9764,104,17169
"23","Eric Bie",6765,227,57,12153,529,7483
"24","Simon M",6634,2221,145,17973,1095,50273
"25","AmiFritz",6447,2143,26,239469,2528,348351
"26","MarcellineOSM",6287,495,161,6631,10,4795
"27","Armire",6093,1217,319,13203,1236,40448
"28","nfrery",5346,1965,55,10547,558,133512
"29","JLZIMMERMANN",5322,2731,252,20899,779,157618
"30","MdMax",5145,1508,27,7008,349,157562
"31","zerpou",5137,1618,127,308887,4173,301412
"32","Rebrousse-poil",4856,727,74,5844,3,1920
"33","Floflo-",4810,1649,141,7026,108,2781
"34","acubens71",4631,359,152,5701,342,34531
"35","JiBOM",4375,2087,162,23946,7345,6876
"36","rm69",4369,1580,70,22575,282,19449
"37","vendangeur",4360,2720,77,13936,95,46032
"38","BlueCelest",4205,567,44,8721,34,5029
"39","troghoutsk",4155,1554,84,9190,480,2378
"40","krysst",4058,2704,35,6787,1640,781889
"41","M GM",3911,1195,72,6831,832,6835
"42","Open Data Montpellier Méditerranée Métropole",3899,850,76,6915,31,5974
"43","JSaudgeo",3821,27,8,3950,5,1183
"44","rogue-spectre",3656,1114,103,7746,76,8786
"45","B1000",3635,556,62,7662,160,3412
"46","Meersbrook",3515,2652,84,10009,2799,13379
"47","David Crochet",3414,2817,105,32923,4681,201218
"48","barnes38",3286,826,53,9076,371,25705
"49","Bryce C Nesbitt",3283,0,1,3378,0,16
"50","chimel38",3215,2176,275,21552,844,146706
"51","Yod4z",3180,2659,336,29381,3662,40093
"52","mikoulprostgrandprix",3150,384,12,3152,4,1047
"53","ËdzëronK",3077,3071,100,38811,1403,779512
"54","casiope",3046,2378,33,3864,34,7440
"55","Popolon",3043,2251,53,4670,105,1543
"56","ComputerHotline",3039,2334,41,3833,94,16387
"57","Hervé TUC",3018,1662,58,32148,1426,45698
"58","FrViPofm",2632,3088,110,22791,876,165580
"59","schnelli",2475,1626,40,2614,3,1829
"60","Régis Vrignaud",2447,366,116,11904,379,25959
"61","Parie",2434,1181,56,2997,66,23304
"62","L3mp1ck4",2406,197,39,2894,10,1416
"63","Cyrille37",2405,2712,122,16176,333,50294
"64","tartiflex",2345,2624,147,11056,567,10660
"65","jabali",2275,1754,156,74552,5301,316597
